fecha,respiratoria,cardiovascular,otra,defunciones_totales
1970-07-19,0,0,1,1
1997-08-10,0,0,1,1
2020-07-24,0,0,1,1
2021-01-11,0,0,1,1
2021-07-15,0,1,1,2
2021-10-15,0,0,1,1
2023-01-05,0,0,1,1
2023-01-12,0,0,1,1
2023-01-31,0,0,1,1
2023-02-20,0,0,1,1
2023-04-03,0,0,1,1
2023-06-23,0,0,2,2
2023-08-10,0,3,4,7
2023-09-12,0,0,1,1
2023-09-20,0,0,1,1
2023-10-06,0,0,1,1
2023-11-01,0,0,1,1
2023-11-06,0,0,1,1
2023-11-07,0,1,0,1
2023-11-28,0,0,1,1
2023-11-30,0,1,0,1
2023-12-01,0,0,1,1
2023-12-08,0,0,1,1
2023-12-14,1,0,0,1
2023-12-16,0,0,1,1
2023-12-21,0,0,1,1
2023-12-26,0,0,1,1
2023-12-28,0,0,1,1
2023-12-29,0,2,0,2
2023-12-30,3,5,8,16
2023-12-31,28,76,124,228
2024-01-01,34,78,159,271
2024-01-02,46,95,153,294
2024-01-03,44,82,179,305
2024-01-04,40,92,161,293
2024-01-05,50,81,164,295
2024-01-06,39,63,148,250
2024-01-07,30,73,143,246
2024-01-08,35,70,161,266
2024-01-09,33,84,145,262
2024-01-10,31,80,150,261
2024-01-11,36,77,119,232
2024-01-12,40,73,170,283
2024-01-13,43,74,153,270
2024-01-14,32,75,151,258
2024-01-15,37,75,154,266
2024-01-16,34,73,134,241
2024-01-17,37,64,165,266
2024-01-18,31,61,132,224
2024-01-19,28,65,122,215
2024-01-20,25,62,127,214
2024-01-21,36,70,134,240
2024-01-22,30,78,122,230
2024-01-23,36,51,157,244
2024-01-24,31,74,157,262
2024-01-25,27,59,140,226
2024-01-26,23,64,157,244
2024-01-27,47,58,131,236
2024-01-28,30,75,145,250
2024-01-29,43,74,99,216
2024-01-30,31,56,156,243
2024-01-31,30,70,131,231
2024-02-01,31,62,126,219
2024-02-02,18,77,140,235
2024-02-03,41,58,146,245
2024-02-04,25,67,129,221
2024-02-05,31,81,136,248
2024-02-06,29,65,133,227
2024-02-07,30,73,143,246
2024-02-08,28,63,149,240
2024-02-09,34,72,162,268
2024-02-10,29,66,133,228
2024-02-11,21,76,150,247
2024-02-12,21,61,117,199
2024-02-13,40,67,138,245
2024-02-14,25,65,131,221
2024-02-15,35,76,151,262
2024-02-16,34,68,141,243
2024-02-17,27,68,154,249
2024-02-18,31,69,136,236
2024-02-19,20,74,143,237
2024-02-20,23,72,166,261
2024-02-21,34,66,132,232
2024-02-22,33,71,145,249
2024-02-23,33,71,131,235
2024-02-24,34,79,159,272
2024-02-25,27,68,154,249
2024-02-26,35,71,137,243
2024-02-27,27,58,147,232
2024-02-28,36,73,161,270
2024-02-29,20,79,143,242
2024-03-01,31,68,134,233
2024-03-02,25,65,155,245
2024-03-03,20,66,136,222
2024-03-04,37,56,127,220
2024-03-05,30,61,142,233
2024-03-06,33,67,166,266
2024-03-07,31,53,117,201
2024-03-08,20,61,124,205
2024-03-09,28,54,140,222
2024-03-10,21,64,148,233
2024-03-11,27,54,137,218
2024-03-12,28,64,128,220
2024-03-13,23,66,120,209
2024-03-14,22,63,129,214
2024-03-15,28,81,136,245
2024-03-16,30,56,133,219
2024-03-17,24,65,142,231
