country,city,latitude,longitude,temperature_2m_max,temperature_2m_min,temperature_2m_mean,apparent_temperature_max,apparent_temperature_min,apparent_temperature_mean,precipitation_sum,wind_speed_10m_max,et0_fao_evapotranspiration,pm10,pm2_5,carbon_monoxide,nitrogen_dioxide,sulphur_dioxide,ozone,fecha,respiratoria,cardiovascular,otra,defunciones_totales,temperature_2m_mean_lag0,temperature_2m_mean_lag1,temperature_2m_mean_lag2,temperature_2m_mean_lag3,temperature_2m_mean_lag4,temperature_2m_mean_lag5,temperature_2m_mean_lag6,temperature_2m_mean_lag7,temperature_2m_mean_lag8,temperature_2m_mean_lag9,temperature_2m_mean_lag10,temperature_2m_mean_lag11,temperature_2m_mean_lag12,temperature_2m_mean_lag13,temperature_2m_mean_lag14,apparent_temperature_mean_lag0,apparent_temperature_mean_lag1,apparent_temperature_mean_lag2,apparent_temperature_mean_lag3,apparent_temperature_mean_lag4,apparent_temperature_mean_lag5,apparent_temperature_mean_lag6,apparent_temperature_mean_lag7,apparent_temperature_mean_lag8,apparent_temperature_mean_lag9,apparent_temperature_mean_lag10,apparent_temperature_mean_lag11,apparent_temperature_mean_lag12,apparent_temperature_mean_lag13,apparent_temperature_mean_lag14,precipitation_sum_lag0,precipitation_sum_lag1,precipitation_sum_lag2,precipitation_sum_lag3,precipitation_sum_lag4,precipitation_sum_lag5,precipitation_sum_lag6,precipitation_sum_lag7,precipitation_sum_lag8,precipitation_sum_lag9,precipitation_sum_lag10,precipitation_sum_lag11,precipitation_sum_lag12,precipitation_sum_lag13,precipitation_sum_lag14,wind_speed_10m_max_lag0,wind_speed_10m_max_lag1,wind_speed_10m_max_lag2,wind_speed_10m_max_lag3,wind_speed_10m_max_lag4,wind_speed_10m_max_lag5,wind_speed_10m_max_lag6,wind_speed_10m_max_lag7,wind_speed_10m_max_lag8,wind_speed_10m_max_lag9,wind_speed_10m_max_lag10,wind_speed_10m_max_lag11,wind_speed_10m_max_lag12,wind_speed_10m_max_lag13,wind_speed_10m_max_lag14,pm10_lag0,pm10_lag1,pm10_lag2,pm10_lag3,pm10_lag4,pm10_lag5,pm10_lag6,pm10_lag7,pm10_lag8,pm10_lag9,pm10_lag10,pm10_lag11,pm10_lag12,pm10_lag13,pm10_lag14,pm2_5_lag0,pm2_5_lag1,pm2_5_lag2,pm2_5_lag3,pm2_5_lag4,pm2_5_lag5,pm2_5_lag6,pm2_5_lag7,pm2_5_lag8,pm2_5_lag9,pm2_5_lag10,pm2_5_lag11,pm2_5_lag12,pm2_5_lag13,pm2_5_lag14,carbon_monoxide_lag0,carbon_monoxide_lag1,carbon_monoxide_lag2,carbon_monoxide_lag3,carbon_monoxide_lag4,carbon_monoxide_lag5,carbon_monoxide_lag6,carbon_monoxide_lag7,carbon_monoxide_lag8,carbon_monoxide_lag9,carbon_monoxide_lag10,carbon_monoxide_lag11,carbon_monoxide_lag12,carbon_monoxide_lag13,carbon_monoxide_lag14,nitrogen_dioxide_lag0,nitrogen_dioxide_lag1,nitrogen_dioxide_lag2,nitrogen_dioxide_lag3,nitrogen_dioxide_lag4,nitrogen_dioxide_lag5,nitrogen_dioxide_lag6,nitrogen_dioxide_lag7,nitrogen_dioxide_lag8,nitrogen_dioxide_lag9,nitrogen_dioxide_lag10,nitrogen_dioxide_lag11,nitrogen_dioxide_lag12,nitrogen_dioxide_lag13,nitrogen_dioxide_lag14,sulphur_dioxide_lag0,sulphur_dioxide_lag1,sulphur_dioxide_lag2,sulphur_dioxide_lag3,sulphur_dioxide_lag4,sulphur_dioxide_lag5,sulphur_dioxide_lag6,sulphur_dioxide_lag7,sulphur_dioxide_lag8,sulphur_dioxide_lag9,sulphur_dioxide_lag10,sulphur_dioxide_lag11,sulphur_dioxide_lag12,sulphur_dioxide_lag13,sulphur_dioxide_lag14,ozone_lag0,ozone_lag1,ozone_lag2,ozone_lag3,ozone_lag4,ozone_lag5,ozone_lag6,ozone_lag7,ozone_lag8,ozone_lag9,ozone_lag10,ozone_lag11,ozone_lag12,ozone_lag13,ozone_lag14
Mexico,Mexico City,19.4326,-99.1332,22.124,8.324,14.388583,20.14365,6.9127026,12.770397,0.0,19.966211,3.644652,45.3625,31.641666666666666,896.0,36.6875,85.75,90.875,2023-01-05,0,0,1,1,14.388583,,,,,,,,,,,,,,,12.770397,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,19.966211,,,,,,,,,,,,,,,45.3625,,,,,,,,,,,,,,,31.641666666666666,,,,,,,,,,,,,,,896.0,,,,,,,,,,,,,,,36.6875,,,,,,,,,,,,,,,85.75,,,,,,,,,,,,,,,90.875,,,,,,,,,,,,,,
Mexico,Mexico City,19.4326,-99.1332,21.774,7.024,13.76775,19.319086,4.8065643,11.733098,0.0,11.177405,3.4880843,49.60833333333333,34.57083333333333,3152.375,68.61666666666666,26.45833333333333,67.79166666666667,2023-01-12,0,0,1,1,13.76775,14.388583,,,,,,,,,,,,,,11.733098,12.770397,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,11.177405,19.966211,,,,,,,,,,,,,,49.60833333333333,45.3625,,,,,,,,,,,,,,34.57083333333333,31.641666666666666,,,,,,,,,,,,,,3152.375,896.0,,,,,,,,,,,,,,68.61666666666666,36.6875,,,,,,,,,,,,,,26.45833333333333,85.75,,,,,,,,,,,,,,67.79166666666667,90.875,,,,,,,,,,,,,
Mexico,Mexico City,19.4326,-99.1332,26.074001,9.074,17.334417,23.72831,7.420865,15.28368,0.0,19.681828,4.734256,44.00416666666666,30.704166666666666,2226.5416666666665,68.2,48.7125,134.04166666666666,2023-01-31,0,0,1,1,17.334417,13.76775,14.388583,,,,,,,,,,,,,15.28368,11.733098,12.770397,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,19.681828,11.177405,19.966211,,,,,,,,,,,,,44.00416666666666,49.60833333333333,45.3625,,,,,,,,,,,,,30.704166666666666,34.57083333333333,31.641666666666666,,,,,,,,,,,,,2226.5416666666665,3152.375,896.0,,,,,,,,,,,,,68.2,68.61666666666666,36.6875,,,,,,,,,,,,,48.7125,26.45833333333333,85.75,,,,,,,,,,,,,134.04166666666666,67.79166666666667,90.875,,,,,,,,,,,,
Mexico,Mexico City,19.4326,-99.1332,26.674002,9.124,16.707335,25.34177,7.4536066,15.007007,0.0,21.129885,5.0591397,50.925,35.35,1557.5416666666667,55.31666666666666,101.6,117.875,2023-02-20,0,0,1,1,16.707335,17.334417,13.76775,14.388583,,,,,,,,,,,,15.007007,15.28368,11.733098,12.770397,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,21.129885,19.681828,11.177405,19.966211,,,,,,,,,,,,50.925,44.00416666666666,49.60833333333333,45.3625,,,,,,,,,,,,35.35,30.704166666666666,34.57083333333333,31.641666666666666,,,,,,,,,,,,1557.5416666666667,2226.5416666666665,3152.375,896.0,,,,,,,,,,,,55.31666666666666,68.2,68.61666666666666,36.6875,,,,,,,,,,,,101.6,48.7125,26.45833333333333,85.75,,,,,,,,,,,,117.875,134.04166666666666,67.79166666666667,90.875,,,,,,,,,,,
Mexico,Mexico City,19.4326,-99.1332,30.424002,14.074,22.394835,29.516685,13.381374,20.780313,0.0,17.771753,6.231976,50.0375,34.72083333333333,846.5,27.21666666666667,76.16250000000001,159.0,2023-04-03,0,0,1,1,22.394835,16.707335,17.334417,13.76775,14.388583,,,,,,,,,,,20.780313,15.007007,15.28368,11.733098,12.770397,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,17.771753,21.129885,19.681828,11.177405,19.966211,,,,,,,,,,,50.0375,50.925,44.00416666666666,49.60833333333333,45.3625,,,,,,,,,,,34.72083333333333,35.35,30.704166666666666,34.57083333333333,31.641666666666666,,,,,,,,,,,846.5,1557.5416666666667,2226.5416666666665,3152.375,896.0,,,,,,,,,,,27.21666666666667,55.31666666666666,68.2,68.61666666666666,36.6875,,,,,,,,,,,76.16250000000001,101.6,48.7125,26.45833333333333,85.75,,,,,,,,,,,159.0,117.875,134.04166666666666,67.79166666666667,90.875,,,,,,,,,,
Mexico,Mexico City,19.4326,-99.1332,30.674002,14.424,22.651083,26.39757,12.452995,19.209745,0.0,30.472675,8.02278,18.0875,12.416666666666666,709.1666666666666,24.329166666666666,8.804166666666667,81.875,2023-06-23,0,0,2,2,22.651083,22.394835,16.707335,17.334417,13.76775,14.388583,,,,,,,,,,19.209745,20.780313,15.007007,15.28368,11.733098,12.770397,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,30.472675,17.771753,21.129885,19.681828,11.177405,19.966211,,,,,,,,,,18.0875,50.0375,50.925,44.00416666666666,49.60833333333333,45.3625,,,,,,,,,,12.416666666666666,34.72083333333333,35.35,30.704166666666666,34.57083333333333,31.641666666666666,,,,,,,,,,709.1666666666666,846.5,1557.5416666666667,2226.5416666666665,3152.375,896.0,,,,,,,,,,24.329166666666666,27.21666666666667,55.31666666666666,68.2,68.61666666666666,36.6875,,,,,,,,,,8.804166666666667,76.16250000000001,101.6,48.7125,26.45833333333333,85.75,,,,,,,,,,81.875,159.0,117.875,134.04166666666666,67.79166666666667,90.875,,,,,,,,,
Mexico,Mexico City,19.4326,-99.1332,25.124,13.674,18.755249,27.36945,13.328688,19.13288,3.3999999,13.556282,4.8911924,37.19583333333333,25.34583333333333,656.125,49.26666666666667,21.204166666666666,91.0,2023-08-10,0,3,4,7,18.755249,22.651083,22.394835,16.707335,17.334417,13.76775,14.388583,,,,,,,,,19.13288,19.209745,20.780313,15.007007,15.28368,11.733098,12.770397,,,,,,,,,3.3999999,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,13.556282,30.472675,17.771753,21.129885,19.681828,11.177405,19.966211,,,,,,,,,37.19583333333333,18.0875,50.0375,50.925,44.00416666666666,49.60833333333333,45.3625,,,,,,,,,25.34583333333333,12.416666666666666,34.72083333333333,35.35,30.704166666666666,34.57083333333333,31.641666666666666,,,,,,,,,656.125,709.1666666666666,846.5,1557.5416666666667,2226.5416666666665,3152.375,896.0,,,,,,,,,49.26666666666667,24.329166666666666,27.21666666666667,55.31666666666666,68.2,68.61666666666666,36.6875,,,,,,,,,21.204166666666666,8.804166666666667,76.16250000000001,101.6,48.7125,26.45833333333333,85.75,,,,,,,,,91.0,81.875,159.0,117.875,134.04166666666666,67.79166666666667,90.875,,,,,,,,
Mexico,Mexico City,19.4326,-99.1332,24.924002,10.474,17.130249,24.825415,9.642359,16.107489,0.0,22.79684,5.459183,20.054166666666667,13.8375,433.3333333333333,31.4625,18.82916666666667,62.375,2023-09-12,0,0,1,1,17.130249,18.755249,22.651083,22.394835,16.707335,17.334417,13.76775,14.388583,,,,,,,,16.107489,19.13288,19.209745,20.780313,15.007007,15.28368,11.733098,12.770397,,,,,,,,0.0,3.3999999,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,22.79684,13.556282,30.472675,17.771753,21.129885,19.681828,11.177405,19.966211,,,,,,,,20.054166666666667,37.19583333333333,18.0875,50.0375,50.925,44.00416666666666,49.60833333333333,45.3625,,,,,,,,13.8375,25.34583333333333,12.416666666666666,34.72083333333333,35.35,30.704166666666666,34.57083333333333,31.641666666666666,,,,,,,,433.3333333333333,656.125,709.1666666666666,846.5,1557.5416666666667,2226.5416666666665,3152.375,896.0,,,,,,,,31.4625,49.26666666666667,24.329166666666666,27.21666666666667,55.31666666666666,68.2,68.61666666666666,36.6875,,,,,,,,18.82916666666667,21.204166666666666,8.804166666666667,76.16250000000001,101.6,48.7125,26.45833333333333,85.75,,,,,,,,62.375,91.0,81.875,159.0,117.875,134.04166666666666,67.79166666666667,90.875,,,,,,,
Mexico,Mexico City,19.4326,-99.1332,25.174002,11.874,17.161497,25.410603,11.527542,17.362225,6.1,14.81259,4.8554425,29.391666666666666,20.4875,633.6666666666666,30.64583333333333,37.575,54.29166666666666,2023-09-20,0,0,1,1,17.161497,17.130249,18.755249,22.651083,22.394835,16.707335,17.334417,13.76775,14.388583,,,,,,,17.362225,16.107489,19.13288,19.209745,20.780313,15.007007,15.28368,11.733098,12.770397,,,,,,,6.1,0.0,3.3999999,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,14.81259,22.79684,13.556282,30.472675,17.771753,21.129885,19.681828,11.177405,19.966211,,,,,,,29.391666666666666,20.054166666666667,37.19583333333333,18.0875,50.0375,50.925,44.00416666666666,49.60833333333333,45.3625,,,,,,,20.4875,13.8375,25.34583333333333,12.416666666666666,34.72083333333333,35.35,30.704166666666666,34.57083333333333,31.641666666666666,,,,,,,633.6666666666666,433.3333333333333,656.125,709.1666666666666,846.5,1557.5416666666667,2226.5416666666665,3152.375,896.0,,,,,,,30.64583333333333,31.4625,49.26666666666667,24.329166666666666,27.21666666666667,55.31666666666666,68.2,68.61666666666666,36.6875,,,,,,,37.575,18.82916666666667,21.204166666666666,8.804166666666667,76.16250000000001,101.6,48.7125,26.45833333333333,85.75,,,,,,,54.29166666666666,62.375,91.0,81.875,159.0,117.875,134.04166666666666,67.79166666666667,90.875,,,,,,
Mexico,Mexico City,19.4326,-99.1332,27.024,12.674,18.517748,25.714859,12.053585,18.352598,4.1,15.876775,4.852398,11.429166666666667,7.779166666666666,223.16666666666663,19.45833333333333,12.5375,54.91666666666666,2023-10-06,0,0,1,1,18.517748,17.161497,17.130249,18.755249,22.651083,22.394835,16.707335,17.334417,13.76775,14.388583,,,,,,18.352598,17.362225,16.107489,19.13288,19.209745,20.780313,15.007007,15.28368,11.733098,12.770397,,,,,,4.1,6.1,0.0,3.3999999,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,15.876775,14.81259,22.79684,13.556282,30.472675,17.771753,21.129885,19.681828,11.177405,19.966211,,,,,,11.429166666666667,29.391666666666666,20.054166666666667,37.19583333333333,18.0875,50.0375,50.925,44.00416666666666,49.60833333333333,45.3625,,,,,,7.779166666666666,20.4875,13.8375,25.34583333333333,12.416666666666666,34.72083333333333,35.35,30.704166666666666,34.57083333333333,31.641666666666666,,,,,,223.16666666666663,633.6666666666666,433.3333333333333,656.125,709.1666666666666,846.5,1557.5416666666667,2226.5416666666665,3152.375,896.0,,,,,,19.45833333333333,30.64583333333333,31.4625,49.26666666666667,24.329166666666666,27.21666666666667,55.31666666666666,68.2,68.61666666666666,36.6875,,,,,,12.5375,37.575,18.82916666666667,21.204166666666666,8.804166666666667,76.16250000000001,101.6,48.7125,26.45833333333333,85.75,,,,,,54.91666666666666,54.29166666666666,62.375,91.0,81.875,159.0,117.875,134.04166666666666,67.79166666666667,90.875,,,,,
