country,city,date,latitude,longitude,temperature_2m_max,temperature_2m_min,temperature_2m_mean,apparent_temperature_max,apparent_temperature_min,apparent_temperature_mean,precipitation_sum,wind_speed_10m_max,et0_fao_evapotranspiration
Argentina, Buenos Aires,2020-01-01 00:00:00+00:00,-34.6037,-58.3816,24.7675,19.2675,21.973753,25.061949,18.2685,22.049086,0.6,24.33664,4.160744
Argentina, Buenos Aires,2020-01-02 00:00:00+00:00,-34.6037,-58.3816,24.2175,18.317501,21.259167,24.995867,17.99948,20.943785,1.8000001,27.609911,4.5939646
Argentina, Buenos Aires,2020-01-03 00:00:00+00:00,-34.6037,-58.3816,25.1175,20.5175,22.37375,27.362978,20.149343,22.910418,0.1,24.20314,5.876242
Argentina, Buenos Aires,2020-01-04 00:00:00+00:00,-34.6037,-58.3816,25.6175,20.917501,23.177916,27.975208,21.11651,24.117735,0.0,20.833395,5.913107
Argentina, Buenos Aires,2020-01-05 00:00:00+00:00,-34.6037,-58.3816,27.167501,20.2175,24.225832,29.682999,22.054735,25.340597,0.0,18.486622,5.9965086
Argentina, Buenos Aires,2020-01-06 00:00:00+00:00,-34.6037,-58.3816,26.4675,18.567501,22.386251,26.071087,17.091236,21.328299,9.8,31.845247,6.566729
Argentina, Buenos Aires,2020-01-07 00:00:00+00:00,-34.6037,-58.3816,27.817501,15.117499,21.613335,27.52074,12.766451,20.351297,0.0,20.188908,7.233435
Argentina, Buenos Aires,2020-01-08 00:00:00+00:00,-34.6037,-58.3816,30.5175,19.4675,24.657084,29.777184,18.071127,23.920225,0.1,25.60053,7.643038
Argentina, Buenos Aires,2020-01-09 00:00:00+00:00,-34.6037,-58.3816,28.817501,22.7175,25.490417,32.653004,23.806833,27.293695,1.1,16.80857,5.669439
Argentina, Buenos Aires,2020-01-10 00:00:00+00:00,-34.6037,-58.3816,30.417501,20.7175,25.119589,32.97853,21.226728,26.105042,0.0,23.598541,6.3146734
Argentina, Buenos Aires,2020-01-11 00:00:00+00:00,-34.6037,-58.3816,28.667501,19.067501,24.29458,33.722786,19.709595,27.186563,0.0,14.255272,6.150201
Argentina, Buenos Aires,2020-01-12 00:00:00+00:00,-34.6037,-58.3816,27.667501,20.2675,24.638334,30.224838,18.617744,24.908457,0.1,35.65454,6.0579023
Argentina, Buenos Aires,2020-01-13 00:00:00+00:00,-34.6037,-58.3816,27.417501,21.1175,23.657082,26.442982,18.650553,21.678453,0.0,33.033802,7.4162097
Argentina, Buenos Aires,2020-01-14 00:00:00+00:00,-34.6037,-58.3816,27.067501,22.167501,24.640417,29.995369,23.289896,25.877007,9.599999,26.099379,3.4450402
Argentina, Buenos Aires,2020-01-15 00:00:00+00:00,-34.6037,-58.3816,27.567501,22.7175,24.927917,31.263329,23.059717,27.690231,39.700005,30.619051,3.363092
Argentina, Buenos Aires,2020-01-16 00:00:00+00:00,-34.6037,-58.3816,24.0175,13.9675,19.438334,24.148191,12.80784,18.219149,0.0,22.553936,6.5215898
Argentina, Buenos Aires,2020-01-17 00:00:00+00:00,-34.6037,-58.3816,24.0175,16.067501,20.119581,25.65077,12.954243,19.723764,0.0,23.358423,5.8672113
Argentina, Buenos Aires,2020-01-18 00:00:00+00:00,-34.6037,-58.3816,26.917501,20.5175,23.384169,29.150143,19.197617,23.383352,0.1,19.35314,6.3621655
Argentina, Buenos Aires,2020-01-19 00:00:00+00:00,-34.6037,-58.3816,28.7675,22.2175,25.196669,33.363617,24.426104,27.381227,0.0,15.4800005,6.1525965
Argentina, Buenos Aires,2020-01-20 00:00:00+00:00,-34.6037,-58.3816,30.4675,24.067501,26.965418,34.965878,27.472254,30.422235,0.0,14.830076,5.85012
Argentina, Buenos Aires,2020-01-21 00:00:00+00:00,-34.6037,-58.3816,26.0175,22.8675,24.315416,30.092236,24.140247,27.240782,11.9,23.838959,1.7612174
Argentina, Buenos Aires,2020-01-22 00:00:00+00:00,-34.6037,-58.3816,27.7675,23.067501,24.78208,31.553833,24.473816,26.624071,0.2,25.764534,5.311662
Argentina, Buenos Aires,2020-01-23 00:00:00+00:00,-34.6037,-58.3816,28.067501,23.0175,25.121668,31.33096,24.050781,27.011854,0.0,24.379204,6.3091607
Argentina, Buenos Aires,2020-01-24 00:00:00+00:00,-34.6037,-58.3816,31.9675,23.167501,27.025835,34.030117,24.029884,28.52916,0.0,22.725668,7.1736245
Argentina, Buenos Aires,2020-01-25 00:00:00+00:00,-34.6037,-58.3816,34.017498,23.1175,28.146667,35.459126,23.845524,29.511017,0.2,22.682856,7.169153
Argentina, Buenos Aires,2020-01-26 00:00:00+00:00,-34.6037,-58.3816,32.8675,22.0175,27.434166,32.226357,21.268835,28.102524,0.0,21.188072,7.4837904
Argentina, Buenos Aires,2020-01-27 00:00:00+00:00,-34.6037,-58.3816,28.417501,16.417501,21.627916,27.484417,12.063272,18.713243,0.0,40.334457,7.676093
Argentina, Buenos Aires,2020-01-28 00:00:00+00:00,-34.6037,-58.3816,28.667501,18.417501,22.675833,27.949673,16.816023,21.394266,0.0,24.57511,7.1131983
Argentina, Buenos Aires,2020-01-29 00:00:00+00:00,-34.6037,-58.3816,26.7175,19.067501,23.809166,26.164742,16.950756,23.69882,3.9,30.10685,3.9410815
Argentina, Buenos Aires,2020-01-30 00:00:00+00:00,-34.6037,-58.3816,25.2175,12.7675,18.654999,23.384966,9.99329,16.42114,0.0,24.344624,6.339238
Argentina, Buenos Aires,2020-01-31 00:00:00+00:00,-34.6037,-58.3816,26.3675,16.567501,21.636251,27.135403,15.975513,20.93101,0.0,15.778516,6.4879103
Argentina, Buenos Aires,2020-02-01 00:00:00+00:00,-34.6037,-58.3816,28.567501,20.2175,24.104998,29.783615,20.910324,24.21926,0.0,18.079027,6.7252283
Argentina, Buenos Aires,2020-02-02 00:00:00+00:00,-34.6037,-58.3816,31.817501,20.817501,26.694582,33.434395,23.004745,28.068428,0.0,19.296133,6.931461
Argentina, Buenos Aires,2020-02-03 00:00:00+00:00,-34.6037,-58.3816,32.567497,23.817501,27.45917,34.882847,26.537857,29.397867,0.0,21.67487,6.93015
Argentina, Buenos Aires,2020-02-04 00:00:00+00:00,-34.6037,-58.3816,32.317497,24.0175,28.044584,34.176582,23.776758,28.827768,0.1,29.07989,7.2834277
Argentina, Buenos Aires,2020-02-05 00:00:00+00:00,-34.6037,-58.3816,30.7175,26.6175,28.288332,34.49468,27.104752,29.821768,1.8000001,30.25928,5.8679857
Argentina, Buenos Aires,2020-02-06 00:00:00+00:00,-34.6037,-58.3816,32.6175,26.2675,28.832085,38.05093,28.355137,32.00314,0.2,26.642431,5.922001
Argentina, Buenos Aires,2020-02-07 00:00:00+00:00,-34.6037,-58.3816,29.667501,26.1175,27.86125,33.63623,28.392998,30.855448,0.9000001,25.476198,4.8095884
Argentina, Buenos Aires,2020-02-08 00:00:00+00:00,-34.6037,-58.3816,26.5175,20.067501,23.207083,28.84719,19.297369,23.97844,4.3999996,28.006056,4.265764
Argentina, Buenos Aires,2020-02-09 00:00:00+00:00,-34.6037,-58.3816,23.917501,16.1175,19.850836,23.165071,13.336109,18.264254,0.0,29.853966,5.5693016
Argentina, Buenos Aires,2020-02-10 00:00:00+00:00,-34.6037,-58.3816,22.817501,13.8175,18.690416,23.794596,11.255833,17.491976,0.0,22.915916,5.0655427
Argentina, Buenos Aires,2020-02-11 00:00:00+00:00,-34.6037,-58.3816,24.667501,18.417501,21.28,25.874184,19.144556,21.255318,0.0,24.288662,5.315957
Argentina, Buenos Aires,2020-02-12 00:00:00+00:00,-34.6037,-58.3816,26.667501,20.0175,22.932085,28.328724,19.39223,22.881433,0.0,23.084955,6.100079
Argentina, Buenos Aires,2020-02-13 00:00:00+00:00,-34.6037,-58.3816,28.667501,21.7675,24.775835,32.020237,20.982702,25.268126,0.0,26.87491,6.041536
Argentina, Buenos Aires,2020-02-14 00:00:00+00:00,-34.6037,-58.3816,29.3675,22.317501,25.43625,31.369614,23.649721,27.176687,0.0,18.214718,5.9932675
Argentina, Buenos Aires,2020-02-15 00:00:00+00:00,-34.6037,-58.3816,29.3675,16.817501,23.788332,32.074852,17.551418,25.59497,0.0,16.923828,5.748621
Argentina, Buenos Aires,2020-02-16 00:00:00+00:00,-34.6037,-58.3816,32.767498,23.417501,27.421669,35.63934,26.247873,30.29703,0.0,18.723461,6.1291246
Argentina, Buenos Aires,2020-02-17 00:00:00+00:00,-34.6037,-58.3816,30.417501,22.917501,26.596666,33.12944,24.00619,29.288187,5.999999,27.887802,4.2452917
Argentina, Buenos Aires,2020-02-18 00:00:00+00:00,-34.6037,-58.3816,24.317501,18.8675,22.007086,27.873371,16.532993,21.748892,1.1,29.03752,4.9503803
Argentina, Buenos Aires,2020-02-19 00:00:00+00:00,-34.6037,-58.3816,27.567501,16.917501,21.965416,27.592947,17.32163,22.01309,0.0,18.472595,5.7425823
Argentina, Buenos Aires,2020-02-20 00:00:00+00:00,-34.6037,-58.3816,22.4675,14.5175,19.319584,22.13768,10.31939,15.807963,0.0,33.041645,6.2569895
Argentina, Buenos Aires,2020-02-21 00:00:00+00:00,-34.6037,-58.3816,20.7175,12.617499,16.871668,16.434042,9.081318,13.164195,0.0,30.821552,5.0169625
Argentina, Buenos Aires,2020-02-22 00:00:00+00:00,-34.6037,-58.3816,21.2175,11.4175,16.284166,22.02581,8.507719,14.385442,0.0,17.917007,5.142121
Argentina, Buenos Aires,2020-02-23 00:00:00+00:00,-34.6037,-58.3816,25.1175,17.1175,20.475832,24.38179,17.027994,20.122198,0.0,17.709658,5.0190983
Argentina, Buenos Aires,2020-02-24 00:00:00+00:00,-34.6037,-58.3816,27.9675,20.067501,23.234169,28.11443,19.09433,22.96673,0.0,20.532627,5.7992606
Argentina, Buenos Aires,2020-02-25 00:00:00+00:00,-34.6037,-58.3816,25.167501,17.5175,21.869583,26.87601,15.089869,20.924095,0.0,22.553936,5.3619785
Argentina, Buenos Aires,2020-02-26 00:00:00+00:00,-34.6037,-58.3816,23.817501,18.567501,21.019583,25.888632,18.253624,21.144693,0.0,23.000591,5.0238423
Argentina, Buenos Aires,2020-02-27 00:00:00+00:00,-34.6037,-58.3816,28.167501,17.417501,22.896666,28.651527,17.158457,22.906044,0.0,13.004922,5.7541447
Argentina, Buenos Aires,2020-02-28 00:00:00+00:00,-34.6037,-58.3816,29.667501,19.317501,24.530005,31.014328,19.850948,24.501585,0.0,25.982424,6.2190723
Argentina, Buenos Aires,2020-02-29 00:00:00+00:00,-34.6037,-58.3816,30.7675,20.917501,24.413336,32.991215,21.139683,25.637094,0.0,26.072052,5.047898
Argentina, Buenos Aires,2020-03-01 00:00:00+00:00,-34.6037,-58.3816,31.567501,22.2675,26.771667,33.163345,23.553427,28.600847,0.0,16.923828,5.842342
Argentina, Buenos Aires,2020-03-02 00:00:00+00:00,-34.6037,-58.3816,30.7175,24.167501,27.002922,32.633858,25.701157,28.076462,0.0,19.469976,6.278549
Argentina, Buenos Aires,2020-03-03 00:00:00+00:00,-34.6037,-58.3816,28.917501,22.817501,25.62792,30.969078,23.69197,26.881248,0.0,21.288757,5.645243
Argentina, Buenos Aires,2020-03-04 00:00:00+00:00,-34.6037,-58.3816,29.4675,23.567501,25.857088,31.588036,25.160084,27.309725,0.0,22.782625,5.7937417
Argentina, Buenos Aires,2020-03-05 00:00:00+00:00,-34.6037,-58.3816,28.3675,23.067501,25.055002,30.219181,23.801552,25.917582,0.0,25.223133,5.80441
Argentina, Buenos Aires,2020-03-06 00:00:00+00:00,-34.6037,-58.3816,27.5175,22.5175,24.652916,28.498436,23.327654,25.816591,0.0,20.532627,4.662165
Argentina, Buenos Aires,2020-03-07 00:00:00+00:00,-34.6037,-58.3816,30.2175,22.2675,25.236252,31.277527,22.422827,26.248678,0.0,19.995398,5.644755
Argentina, Buenos Aires,2020-03-08 00:00:00+00:00,-34.6037,-58.3816,31.567501,23.9675,26.734167,33.475807,24.65233,27.770836,0.0,22.35481,4.965153
Argentina, Buenos Aires,2020-03-09 00:00:00+00:00,-34.6037,-58.3816,26.8675,21.4675,24.117495,28.569695,19.390789,24.92212,0.8,32.19938,4.0611596
Argentina, Buenos Aires,2020-03-10 00:00:00+00:00,-34.6037,-58.3816,23.6175,19.4675,21.465414,22.971853,18.748592,20.83224,9.4,30.21642,3.9285808
Argentina, Buenos Aires,2020-03-11 00:00:00+00:00,-34.6037,-58.3816,22.567501,19.9675,21.432081,23.348082,20.597193,21.894035,49.7,27.44513,1.2038972
Argentina, Buenos Aires,2020-03-12 00:00:00+00:00,-34.6037,-58.3816,26.2175,18.317501,21.788332,32.030582,20.392538,24.742716,0.1,17.193533,4.138444
Argentina, Buenos Aires,2020-03-13 00:00:00+00:00,-34.6037,-58.3816,28.317501,21.9675,24.53625,33.158745,23.50281,27.32284,0.0,21.166653,4.3359947
Argentina, Buenos Aires,2020-03-14 00:00:00+00:00,-34.6037,-58.3816,26.567501,20.9675,23.938332,29.204628,22.725096,26.073273,30.8,27.438046,1.8625773
Argentina, Buenos Aires,2020-03-15 00:00:00+00:00,-34.6037,-58.3816,22.567501,17.067501,19.89667,23.372072,15.866165,19.732494,6.9,22.657131,3.349238
Argentina, Buenos Aires,2020-03-16 00:00:00+00:00,-34.6037,-58.3816,20.8675,17.9675,19.33,20.73017,17.501598,19.0739,0.0,16.595179,3.7693713
Argentina, Buenos Aires,2020-03-17 00:00:00+00:00,-34.6037,-58.3816,22.167501,19.2675,20.627916,23.27956,18.981571,21.100119,6.5,28.33957,1.9818424
Argentina, Buenos Aires,2020-03-18 00:00:00+00:00,-34.6037,-58.3816,22.6175,17.9675,20.359167,24.081905,17.83189,20.812916,8.900002,31.353085,2.4556317
Argentina, Buenos Aires,2020-03-19 00:00:00+00:00,-34.6037,-58.3816,22.7175,15.7175,19.073751,21.447632,14.126568,17.952991,0.0,29.827904,3.2362585
Argentina, Buenos Aires,2020-03-20 00:00:00+00:00,-34.6037,-58.3816,26.417501,15.617499,20.438335,27.60779,15.217005,20.976845,0.0,16.92383,4.0690227
Argentina, Buenos Aires,2020-03-21 00:00:00+00:00,-34.6037,-58.3816,26.2675,17.817501,22.179995,28.807182,17.605368,23.40307,0.0,16.676977,4.192243
Argentina, Buenos Aires,2020-03-22 00:00:00+00:00,-34.6037,-58.3816,25.817501,19.167501,22.688334,28.490673,20.222631,23.806929,0.0,15.745627,4.387236
Argentina, Buenos Aires,2020-03-23 00:00:00+00:00,-34.6037,-58.3816,26.8675,20.7175,23.41125,27.545223,19.96523,23.49806,0.0,21.603,5.0250697
Argentina, Buenos Aires,2020-03-24 00:00:00+00:00,-34.6037,-58.3816,28.317501,21.067501,24.034164,30.770695,21.945375,25.232424,0.0,21.533897,4.3259654
Argentina, Buenos Aires,2020-03-25 00:00:00+00:00,-34.6037,-58.3816,25.317501,20.667501,23.236252,27.79676,20.210346,25.198187,2.8,26.183659,1.9542611
Argentina, Buenos Aires,2020-03-26 00:00:00+00:00,-34.6037,-58.3816,24.9675,20.2175,22.255003,26.631252,21.219513,23.403162,0.0,22.104116,2.772455
Argentina, Buenos Aires,2020-03-27 00:00:00+00:00,-34.6037,-58.3816,25.5175,21.917501,23.511248,27.521471,22.600222,25.061125,0.0,17.399586,3.9041688
Argentina, Buenos Aires,2020-03-28 00:00:00+00:00,-34.6037,-58.3816,26.2675,20.667501,23.132082,29.988743,23.37433,25.555344,0.5,16.394829,3.1043994
Argentina, Buenos Aires,2020-03-29 00:00:00+00:00,-34.6037,-58.3816,27.1175,20.9675,23.963333,31.633312,24.003191,27.307106,0.70000005,10.483357,3.246943
Argentina, Buenos Aires,2020-03-30 00:00:00+00:00,-34.6037,-58.3816,25.067501,21.167501,23.169584,27.801937,23.150408,25.545656,0.4,21.288757,2.9875255
Argentina, Buenos Aires,2020-03-31 00:00:00+00:00,-34.6037,-58.3816,23.067501,20.3675,21.823748,24.243399,17.999487,21.419233,3.1999998,38.479603,2.0356488
Argentina, Buenos Aires,2020-04-01 00:00:00+00:00,-34.6037,-58.3816,25.317501,20.8675,22.473747,27.261387,20.664734,23.03177,8.8,31.37168,2.802163
Argentina, Buenos Aires,2020-04-02 00:00:00+00:00,-34.6037,-58.3816,21.167501,14.3175,18.125834,22.112143,10.053968,14.787177,0.5,36.44722,4.13526
Argentina, Buenos Aires,2020-04-03 00:00:00+00:00,-34.6037,-58.3816,20.5175,11.2675,15.894581,22.155338,8.962818,14.3705015,0.0,22.668568,3.4777024
Argentina, Buenos Aires,2020-04-04 00:00:00+00:00,-34.6037,-58.3816,23.817501,16.5175,19.546667,22.398945,15.779276,18.844133,0.0,20.316889,3.7823362
Argentina, Buenos Aires,2020-04-05 00:00:00+00:00,-34.6037,-58.3816,24.167501,16.9675,20.265417,24.268927,16.424305,20.272211,0.0,17.026896,2.7320216
Argentina, Buenos Aires,2020-04-06 00:00:00+00:00,-34.6037,-58.3816,20.4675,14.367499,17.627914,21.068745,10.447983,14.490906,0.0,32.36398,4.1384416
Argentina, Buenos Aires,2020-04-07 00:00:00+00:00,-34.6037,-58.3816,16.9675,8.9175,13.18208,13.633421,5.507923,9.855559,0.0,18.532133,3.0978627
Argentina, Buenos Aires,2020-04-08 00:00:00+00:00,-34.6037,-58.3816,17.4675,9.4175,13.440417,16.107416,6.84383,11.459057,0.0,14.578888,3.0506008
